순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
438,국내도서,문화란 무엇인가,8931021577,9788931021578,,문예출판사,"테리 이글턴 지음, 이강선 옮김",15000,13500,1500,10%,750점,20210308,6880
439,국내도서,2021 최신판 위포트 공기업 NCS 직업기초능력평가 + 직무수행능력평가 통합 기본서,K942736812,9791161981130,13320,위포트,위포트 연구소 지음,23800,21420,2380,10%,"1,190점",20201211,22755
440,국내도서,팀버레이크의 대학화학기초,K622534035,9791188731039,93430,사이플러스,"Karen Timberlake 외 지음, 화학교재연구회 옮김",39000,39000,0,0%,0점,20190301,7969
441,국내도서,선형대수학 Express,8970507582,9788970507583,93410,생능출판사,김대수 지음,27000,27000,0,0%,"1,350점",20130125,7734
442,국내도서,공업수학 Express,897050706X,9788970507064,93410,생능출판사,김동식 지음,32000,32000,0,0%,"1,600점",20110721,6924
443,국내도서,에세이 만드는 법,K692739366,9791189683849,4810,유유,이연실 지음,10000,9000,1000,10%,500점,20210304,11800
444,국내도서,나를 바꾼 기록 생활,K382738822,9791190473552,3810,뜻밖,신미경 지음,13000,11700,1300,10%,650점,20210205,12805
445,국내도서,2021 에듀윌 답만보는 운전면허 필기시험 1종.2종 공통,K512738584,9791136009456,,에듀윌,에듀윌(도로교통공단 문제 제공) 지음,11000,9900,1100,10%,550점,20210203,10710
446,국내도서,내면의 그림,K312737052,9791161110639,3180,뮤진트리,"루트 암만.베레나 카스트.잉그리트 리델 지음, 박경희 옮김",30000,27000,3000,10%,"1,500점",20210224,15065
447,국내도서,"영단기 토익 실전 1000제 1 LC 문제집 + 해설집 (2019 퍼스트브랜드 대상 수상기념 특별가 4,900원)",K282635029,9791163713982,13740,커넥츠영단기,영단기 연구소 엮음,4900,4410,490,10%,240점,20190626,53412
448,국내도서,이해하기 쉬운 인체생리학,8981603065,9788981603069,93590,파워북,이연숙 외 지음,25000,25000,0,0%,0점,20190305,7733
449,국내도서,Hein 대학화학의 기초,K362536471,9791158081201,93430,자유아카데미,"Morris Hein 지음, 화학교재연구회 옮김",37000,37000,0,0%,0점,20170130,9169
450,국내도서,쉽게 배우는 소프트웨어 공학,K762434091,9791156642053,93000,한빛아카데미(교재),김치수 지음,25000,25000,0,0%,0점,20151130,9129
451,국내도서,EBS 다큐프라임 자본주의,8957365796,9788957365793,3320,가나출판사,EBS 자본주의 제작팀 지음,17000,15300,1700,10%,850점,20130927,24145
452,국내도서,잘못 뽑은 반장,8934933704,9788934933700,73810,주니어김영사,"이은재 지음, 서영경 그림",11500,10350,1150,10%,570점,20090511,34804
453,국내도서,눈보라,8936455605,9788936455606,77810,창비,강경수 지음,14000,12600,1400,10%,700점,20210129,17300
454,국내도서,파워 유저를 위한 파이썬 EXPRESS,8970504664,9788970504667,93000,생능출판사,천인국 지음,30000,30000,0,0%,900점,20201120,5830
455,국내도서,IFRS 회계원리,8955017170,9788955017175,94320,신영사,반선섭 외 지음,30000,30000,0,0%,900점,20200215,7213
456,국내도서,캠벨 생명과학,8968240906,9788968240904,93470,바이오사이언스,"Jane B. Reece 외 지음, 전상학 옮김",60000,60000,0,0%,0점,20190530,13725
457,국내도서,경제학 들어가기,K612536589,9791185994345,93320,문우사(도서출판),이준구.이창용,33000,33000,0,0%,0점,20170222,8271
458,국내도서,꼭두각시 살인사건,K422738795,9791190157278,3840,북플라자,"다니엘 콜 지음, 유혜인 옮김",15500,13950,1550,10%,770점,20210201,11780
459,국내도서,트릭 미러,K882738583,9791190955089,3300,생각의힘,"지아 톨렌티노 지음, 노지양 옮김",18000,16200,1800,10%,900점,20210215,16765
460,국내도서,내 마음의 위험한 녀석 3,K312738487,9791166113659,"
07830",㈜소미미디어,"사쿠라이 노리오 지음, 김현주 옮김",5500,4950,550,10%,270점,20210205,13520
461,국내도서,Soul 소울 (영어원서 + 워크북 + 오디오북 MP3 + 한국어 번역),K302738084,9791186701911,14740,롱테일북스,"Tenny Nellson 지음, 롱테일북스 편집부 감수",13500,12150,1350,10%,670점,20210201,8135
462,국내도서,보건교사 안은영 (특별판),8937479958,9788937479953,3810,민음사,정세랑 지음,14000,12600,1400,10%,700점,20200911,145755
463,국내도서,나는 나로 살기로 했다 (100만부 기념 클래식 에디션),K162638125,9791187119845,3810,마음의숲,김수현 지음,13800,12420,1380,10%,690점,20161125,96768
464,국내도서,연구방법론,8999720381,9788999720383,93370,학지사,성태제.시기자 지음,24000,24000,0,0%,720점,20200310,8396
465,국내도서,"글쓰기, 생각을 펼치다",K232636191,9791163950226,93810,태학사,조남민 외 지음,14000,14000,0,0%,0점,20190226,6837
466,국내도서,스마트 경영학,K242635037,9791186689264,93320,생능출판사,최진남.성선영 지음,27000,27000,0,0%,810점,20190712,7022
467,국내도서,The Essence of Writing 1,K662532418,9791159012686,14710,한국외국어대학교출판부 지식출판원(HUINE),최호성 외 지음,10000,9500,500,5%,500점,20180228,7587
468,국내도서,연주자를 위한 조성음악분석 1,8959167096,9788959167098,94670,예솔,송무경 지음,15000,13500,1500,10%,750점,20180220,10483
469,국내도서,젊은이를 위한 인간관계의 심리학,8999713067,9788999713064,93180,학지사,권석만 지음,20000,20000,0,0%,600점,20170725,9840
470,국내도서,어린 왕자,8932917248,9788932917245,3860,열린책들,"앙투안 드 생텍쥐페리 지음, 황현산 옮김",9800,8820,980,10%,490점,20151020,90179
471,국내도서,교육사회학,8925409232,9788925409238,93370,교육과학사,김신일 지음,20000,20000,0,0%,0점,20150225,10080
472,국내도서,사회조사방법론,8962183528,9788962183528,93330,Cengage Learning,"Earl R. Babbie 지음, 고성호 외 10명 옮김",35000,35000,0,0%,"1,050점",20131202,8915
473,국내도서,모순,8998441012,9788998441012,3810,쓰다,양귀자 지음,13000,11700,1300,10%,650점,20130401,43371
474,국내도서,어떤 죽음이 삶에게 말했다,8965964237,9788965964230,3810,흐름출판,김범석 지음,15000,13500,1500,10%,750점,20210118,22070
475,국내도서,방구석 미술관 (10만 부 기념 스페셜 에디션),8968331863,9788968331862,3600,블랙피쉬,조원재 지음,16800,15120,1680,10%,840점,20200410,139874
476,국내도서,소프트웨어 이해와 컴퓨팅적 사고,896341308X,9788963413082,93000,영민,서병민.임순빈.김보경 지음,21000,21000,0,0%,0점,20190302,5805
477,국내도서,학교사회복지론 (주석진 외),8999409740,9788999409745,,양서원(박철용),주석진 외 지음,21000,21000,0,0%,630점,20200210,7257
478,국내도서,수식이 보이는 공학수학,K892533324,9791156644026,93560,한빛아카데미(교재),장윤석 지음,24000,24000,0,0%,0점,20180620,7134
479,국내도서,폴 크루그먼의 경제학의 향연,8985989162,9788985989169,3320,부키,"폴 크루그먼 지음, 김이수.오승훈 옮김",16000,14400,1600,10%,800점,19971110,10347
480,국내도서,생명과학 길라잡이,8961543539,9788961543538,93470,라이프사이언스,전상학 외 옮김,32000,32000,0,0%,960점,20210301,5775
481,국내도서,융합적 사고와 글쓰기,K192638303,9791162441299,93800,역락,숙명여자대학교 기초교양학부 지음,15000,15000,0,0%,0점,20180220,9651
482,국내도서,부의 인문학,8995563508,9788995563502,3320,오픈마인드,브라운스톤 지음,15000,13500,1500,10%,750점,20191004,69792
483,국내도서,선량한 차별주의자,8936477196,9788936477196,3300,창비,김지혜 지음,15000,13500,1500,10%,750점,20190717,105566
